job_title,company_name,job_location,job_description,ID
Senior Business Analyst,Flipkart,"Bengaluru, Karnataka","Bengaluru, Karnataka3+ years experienceSr. Business Analyst: The Stage/The Gig: Business Analytics Flipkart is making eCommerce happen in India. Flipkart’s vision is to make analytics part of its overarching competitive strategy, and push it up to decision makers at every level. The Analytics Team serves data requirements to a diverse set of customers - from Business Teams to Supply Chain Teams to Product Teams. An Analyst is expected to grasp the underlying data requirements of these teams and develop reports/analyses that add value to them. Do you have the passion to analyse data and impact the business materially through what you observe? At Flipkart, high focus on Impact and Ownership allows for freedom to each to experiment and innovate. The pride is when you see the impact of what you have created. The ability to see what your contribution does to the business is a rare experience, add to that the fact that the impact of it is felt by your friends and family in India - the experience is extremely gratifying. You’re Part: <U+F0B7> You are involved in identifying complex fuzzy problems, break it down in smaller parts and implement creative, data-driven solutions. <U+F0B7> You are responsible for defining, analysing and communicating key metrics and business trends to the management teams.<U+F0B7> You model data in order to create reporting infrastructure/dashboards for business process management and data mining.<U+F0B7> You execute quantitative analysis that translates data into actionable insights. <U+F0B7> You drive data driven decision making through the stake holders. You’re Array (Nice to Haves): <U+F0B7> Exceptional written and verbal communication skills. <U+F0B7> Ability to multitask and work on a diverse range of requirements. <U+F0B7> Hands on: BI tools (Cognos, BO, Pentaho, Qlikview), Web analytics tool (GA, Omniture etc), Statistical tools (R, SAS etc)<U+F0B7> Experience in analysing very large, complex, multi-dimensional data sets.<U+F0B7> Penchant for business, curiosity about numbers and persistence to work with data to tease out insights. You (Must Haves): <U+F0B7> Bachelors in Engineering, Computer Science, Math, Statistics, or related discipline from a reputed institute or an MBA from a reputed institute.<U+F0B7> You have 3+ Years of experience in relevant role<U+F0B7> Strong problem solving and analytical skills.<U+F0B7> Technical capabilities: SQL, Excel and Scripting Language.
You’re Cheers! Apart from all the general benefits of best in industry compensation, equity, healthcare etc., Flipkart prides in calling out the big hand for you to be <U+F0B7> Great Work, Great People and Great environment. We call o",348
Senior Desktop Support Analyst,Apptio,"Bengaluru, Karnataka","Bengaluru, Karnataka2+ years experienceYou:
Apptio is currently looking for a Senior Desktop Support Analyst with a passion for customer service and a seasoned background in desktop management, end-user support, asset management and optimization, and proficient corporate IT responsibilities. We are a global company expecting this individual to be a worldwide point of escalation for a period of their workday. The ideal candidate possesses a blend of tactical hands-on capability, responsive customer attitude, and experience with Windows, Mac and Linux environments, exceptional multi-tasking capabilities and a strong drive towards operational excellence.
In this role, you will:Thrive on Customer Satisfaction on all levels within the organization (Execs, EAs, Managers, Individual Contributors)
Have the ability to manage Tier 1 and 2 for all Service Desk Incidents and provide thorough documentation of issues escalated to other teams.
Work well independently and within a larger team in a fast-paced environment with deadlines
Train New-Hires, departments and groups on Apptio IT core services
Possess a deep knowledge of all Apptio core technologies (OS Win 10, Apple Mac OSX up to MacOS Mojave, VPN, Endpoint Security, A/V, ISTM, SharePoint, Unified Communications, Skype for Business, Office 365, Exchange and Active Directory administration)
Have experience of handling medium-to-large scale PC/OS deployments
Have a strong ability to assess customer business processes and propose innovative technology use to optimize
Propose and implement service desk process improvements
Possess strong ability to utilize Configuration Management solutions (i.e. SCCM, Jamf)
Sets the standards for Knowledge Base articles (KBs) by investigating and documenting incident root cause and resolution
Provide escalated local/remote support and troubleshooting across all geo-locations (US, EMEA, APAC)
Fulfill duty as a member of the weekly on-call rotation for after-hours/weekend support (as required)
Have the ability to work with Network/System Engineers and the Director, Infrastructure to ensure optimal operations of all systems
Possess fundamental knowledge and understanding of LAN/WAN architecture and administration
Possess ability to identify, track and articulate trending issues and produce metrics (as required)

Basic Qualifications
5+ years working with Executive level personnel
5+ years working with Windows 7/8.1/10 in a Windows Server Enterprise 2008/2012 domain
5+ years managing Active Directory Users and Computers
5+ years using Configuration Management Tools (SCCM)
5+ years resolving issues for remote users/customers
5+ years installing/configuring/troubleshooting PC hardware and operating systems
2 - 5 years working with Mac OS/OSX in an Enterprise Environment
Has acted as escalation tier within medium/large organizations
Preferred Qualifications:ITIL v3 Foundation certificate
CompTIA A+, HDI Support Center Analyst (HDI-SCA)
Windows Server Enterprise knowledge (Windows Server 2008/2012 Enterprise)
JAMF administration (Mac OS/IOS management) experience
SCCM administration (System Center Configuration Management) experience
Linux/Unix experience
MCSA (Microsoft Certified Solutions Associate) – Windows Server 2012, Windows 8/10

The Company

Apptio is the leading provider of cloud-based Technology Business Management (TBM) software that helps CIOs manage the business of IT. Apptio's suite of applications use business analytics to provide facts and insights about technology cost, value, and quality, so IT leaders can make faster, data-driven decisions.

Hundreds of customers, including 40 percent of the Fortune 100, choose Apptio as their business system of record to align IT spending with business priorities. Apptio is also backed by some of the world's most prominent financial institutions including T. Rowe Price, Andreessen Horowitz, Greylock Partners, Madrona Ventures, Shasta Ventures.

Apptio Inc. is not open to 3rd party solicitation or resumes for our posted FTE positions. Resumes received from 3rd party agencies that are unsolicited will be considered complimentary.

Apptio, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Apptio, Inc. complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities.",349
Business Analyst,ITC Infotech India Ltd,"Bengaluru, Karnataka","Bengaluru, KarnatakaRoles & Requirements:
Ability to conceptualize, design & build planning models from scratch.
Appreciation of various industry specific drivers and nuances involved in planning.
A passion for business analytics, modelling and planning.
Conceptualize, design and build planning models on Anaplan cloud planning platform as per customer business requirements.
Advanced Anaplan Modelling skills is required on the job.
Strong expertise and deep understanding of Multi-Dimensional Business Modeling.
Ability to translate Excel based Models to Anaplan models.
Enthusiasm for new ideas and innovative solutions.
Aptitude for quickly ramping up on new technology.
Experience in driving high-quality presales work with consultative flair; build prototypes and POCs for prospective customers to demonstrate Anaplan’s unique value proposition.
Senior candidates are also expected to contribute towards proposal writing and bid management.
Candidate should have an analytical bent of mind, and ability to appreciate the various applications of analytics for solving business problems.
Should have high level of commitment, initiative and on the fly problem solving capacity.
Must be organized, detail oriented and perform independently.
Open, motivated personality who enjoys working in a team and in challenging situations.
Willingness to travel extensively.
Excellent communication and interpersonal skills and English proficiency (spoken and written) is a must.
Adequate experience in client-facing roles.
Job Profile:

The defined role is within the Planning and Analytics team which forms part of the 500+ member Data LoB working on cutting-edge next-gen technologies such as AI, ML etc. The group comprises industry practitioners and consultants with years of experience of working across sectors and geographies. It is a pure play front end (client-facing) role.
The candidate will be based in Bangalore and would be required to travel extensively (mostly to international locations) for short durations.
Only applicants with relevant experience would be considered for further screening.
Compensation would be the best in industry.
The designation would be decided based on relevant prior experience and profile fitment.",350
Senior Analyst - Investment Analysis,Fidelity Investments,"Bengaluru, Karnataka","Bengaluru, Karnataka4+ years experienceThe Investment Product Group has end-to-end responsibilityfor product strategy, development, management, and advocacy for allFidelity-managed investment strategies across the institutional, intermediary,and retail distribution channels.
TheValue You Deliver
In this role, the candidate will be focused onanalyzing and researching Fidelity’s Mutual Funds and its competitors
Providing actionable insights to keystakeholders within Investment Product Group
Independently lead proprietary researchprojects as directed by Investment Product Group
Build competitive analysis and research toolsto identify gaps in Fidelity product offerings, which will be used as inputsfor Investment Neighborhood
Technical/ Behavioral
Ideally 4-7 years of research work experience.Prior experience in Mutual Fund research is desirable.
Post-graduate in Management with specializationin Finance from top-tier B-school. Additional qualification of CFA isdesirable.
Proficiency with market data/analytic systemssuch as Morningstar Direct, Bloomberg, FactSet, and Simfund
Strong analytical, quantitative, and problemsolving skills
Strong communication and interpersonal skills asthey will be interacting extensively with senior management
The role is largely self-driven andself-managed, with minimal supervision on a day to day basis
BUOverview
Business Analytics & Research (BA&R), a part of FMRIndia, is a consulting and insights team that enables business leaders atFidelity Investments to make informed decisions. The team uses a combination ofbusiness & investment research, advanced analytics, decision sciences andAI to solve business problems at the operational, tactical and strategiclevel. The group houses top talent, withmost of the associates having a post graduate degree or PhD. The group providesa unique exposure to the financial services industry spanning workplaceinvesting, retail investing, institutional investing, asset management andprivate equity.
Fidelity Investments is one of the world's largest providers of financial services. Headquartered in Boston, US, Fidelity's goal is to make financial expertise broadly accessible and effective in helping people live the lives they want. Privately held for nearly 70 years, Fidelity employs 45,000 associates who are focused on the long-term success of our customers. FMR (Fidelity Management & Research) India is the Global Inhouse Center of Fidelity Investments. Headquartered at Bangalore, where operations commenced in 2003, FMR India has another fully-functional unit at Chennai. To know more visit: FMR India
Location: Bangalore - EGL
Shift timings: 10:00 pm - 7:00pm",351
Data Architect / Sr. Data Analyst - 5 to 10 years experince,Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","Mumbai, Maharashtra<U+20B9>10,00,000 - <U+20B9>20,00,000 a year3+ years experienceJob SummaryAn incredibly rare opportunity for a passionate, aggressive Data Architect, who is a CRM and MIS Specialist to join a well-funded early stage Ed Tech start-up backed by bulge-bracket VCs and an award-winning management team. The founder is highly reputed with a blue-chip pedigree and a history of successful exits. Prototype and Phase 1 has blockbuster results, targeting an immediate $1.1+ Billion market, enabling tremendous upside for a dynamic business analytics leader.Responsibilities and DutiesLead end-to-end data architecture, analytics and structure for a dynamic, fast growing start-up.Part of an agile development team; work on the creation, customization and integration of Data in CRM for the organisationProviding insights and developing strategies for MIS and aligning to business objectives in all stages of product life cycleCoordinate with data users and key stakeholders and develop and achieve various long term objectives for data architecture.Develop database solutions to store and retrieve company informationPreparing internal reports for executive leadership and supporting their decision makingAnalyse data, derive insights and embed it into business intelligence and actionsPreparation of various other reports which provide business insights and are key business drivers**Backed by a reputed founder and 2 of the Top 3 India VCs, this is a once-in-a-lifetime chance to make tremendous wealth while working on a mission for an exceptional data starQualifications and Skills**Graduate/Post Graduate in Computer from premium Institute with advanced skill set in Excel with MySQL and work knowledge in CRM implementation prefereed. This role involves data extraction/seggregation and alignment from scratch. Therefore those willing to approach data with its startup complexity (rather excitement) only need to apply.Proven work experience as a Data Architect, Data Scientist, Data Analyst or similar roleFamiliarity with data visualization tools (e.g. js and R)Data Analytics Visionary; strong in MySQL & Advanced ExcelExperience in CRM across business unitsExperience in the field of Data Analysis, Data Visualisation and Data ValidationStrong in analysing the Data and creating dashboardsStrong in communication, presentation and business intelligenceAggressive: “Take no prisoners” approach. The founder is extremely driven and aggressive, and the Data Architect should have the same all-consuming drive.Systems Thinking: Create strong and accurate data framework to build a rocket-ship.Multi-Dimensional, ""Growth Hacker"" Skill Set with a strong sense of ownership for work.Job Type: Full-timeSalary: <U+20B9>1,000,000.00 to <U+20B9>2,000,000.00 /yearExperience:Data Structure: 3 years (Required)work: 5 years (Required)Data Analysis: 5 years (Required)Education:Bachelor's (Required)Location:Mumbai, Maharashtra (Preferred)",352
Installer Software-Business Analyst,Wipro LTD,"Bengaluru, Karnataka","Bengaluru, Karnataka5+ years experienceMandatory Skills:
Installer Software
Job Description:
tLegitimately Review and ensure accurate and detailed ELP (Effective License Position) reports are prepared and shared with the stakeholders. n tAccuracy of CMDB data of ITAM assets are up to date and reporting analytics and analysis are based on the CMDB data n tOversee the Software Asset Management (SAM) Lifecycle Management Processes are managed as per SOW and SLA n tResponsible for the tickets / SR are managed and processed as per the approved EPD and closed within the TAT n tTracking all the IT Assets throughout the lifecycle i.e from the PO to the Disposal. n tAll the CR are processed as per the approval process flow and necessary changes are made in the CMDB n tRaise alerts on any Anomalies and shortfalls in licenses and ensure gap closure. n tEnsure there is no non-compliance in the process flow n tEffective management of CMDB, Understanding of CR, CI, CM processes. n tMIS, GAP, ELP, Contractual Consumption Report generation as per the schedule n tValidation of the Billing data
Roles & Responsibilities:
Minimum Experience Required: 5-8 YEARSMandatory Skills: Installer Software Business Analysis, Statistical Analysis, Business Analytics, SAS for Statistics, Statistical ModelingDesirable Skills:
Language Skills:",353
Business Intelligence Engineer,ADCI - Karnataka,"Bengaluru, Karnataka","Bengaluru, KarnatakaIndustry experience of working in a Business Intelligence Engineer role.Familiarity with theory and practice of statistics, information retrieval and data mining.Demonstrated capability of extracting, transforming, and cleaning large (multi-TB) data sets.Experience in scripting for automation (e.g. Python, Perl, Ruby).Experience using statistical packages and business intelligence tools such as SPSS, SAS, S-PLUS, or R.Experience in data mining and optimizing database query performance in SQL.Experience in building dashboards and reports to surface business intelligence data.Strong analytical and excellent problem solving skills.Proven interpersonal, written and verbal skills, capable of presenting your beliefs clearly and compellingly in both verbal and written form to large cross-functional teams of technical and non-technical members.Strong desire to push your ideas into production, overcoming obstacles, in order to benefit Amazon's customers.Degree in Computer Science, Information Technology, Business Analytics, Mathematics, Statistics or Economics. In lieu of degree, relevant skills and equivalent experienceAmazon strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience - Amazon continues to grow and evolve as a world-class e-commerce platform.
Job Description
Business intelligence engineer would support the analytical requirements of the Global Trade Services team. He/ she will be responsible for conducting deep dive analyses to solve complex business problems. He/ she will also be responsible for creating robust reporting frameworks to increase visibility into data and enable data driven decision making. Another key aspect of the job is to unearth insights from data to help the operations team in driving process excellence. This position requires excellent statistical and analytical abilities, good knowledge of business intelligence solutions and data engineering practices, and the ability to collaborate with various teams across compliance operations. Candidate should be comfortable with ambiguity, capable of working in a fast-paced environment, possess strong attention to detail, and able to collaborate with customers to understand and transform business problems into requirements and deliverables

· Familiar with theory and practice of relevance and machine learning.",354
Sr. Assoc_FRRA_Strategy & Analytics,JP Morgan Chase,"Bengaluru, Karnataka","Bengaluru, KarnatakaDepartment Description:
The Firmwide Regulatory Reporting & Analysis (FRRA) team resides within Corporate Finance. The group is responsible for the execution and delivery against the Firm’s regulatory reporting requirements to its U.S. regulators. The team has end-to-end responsibility for US regulatory reporting and capital stress testing, including the design, implementation, and oversight of the execution, analysis, control and governance frameworks. Its mandate includes determining the appropriate investment in people, processes and technology to improve the accuracy, completeness and consistency of the Firm’s US regulatory reporting and capital stress testing submissions, as well as the implementation of new requirements and guidelines as they are published.The objectives of the FRRA Team are to provide leadership on all aspects of US regulatory reporting and Firmwide capital stress-testing, including both internal and regulatory requirements.
The Strategy and Analytics team sits within FRRA and is responsible for leading the development and implementation of Business Intelligence & Data Analytics solutions, identifying and delivering process automation & technology innovation, managing the e2e quarterly-reporting production close, and helping to define and design multi-year business strategy.
Strategy & Analytics Associate
The Strategy & Analytics Associate will report to the Analytics team lead and oversee/mentor additional local team member to support the following:
Define and maintain data taxonomy of key business metrics
Drive standardization across processes and reporting. Suggest and implement controls to improve efficiency & accuracy of existing processes
Extract, categorize, and store business information from a variety of firmwide systems
Support data models and workflows using tools such as R, Python, Alteryx, or Power Query
Work with stakeholders across FRRA to assist business-specific processes to collect useful information in tools as SharePoint
Enhance and maintain QlikView/Tableau dashboards to succinctly present key performance indicators to key business stakeholders
This role requires strong operational/process management skills to support multiple diverse processes within defined timelines while maintaining procedural and control discipline. The role provides exposure to various LOBs and Functions and provides an opportunity for the individual to partner with CFR, FRRA and Line of Business/functional Controller teams
Qualifications & Required Skills
The candidate for this position must have the following qualifications and skill set to perform this role:
A Bachelor’s degree in MIS, Business Analytics or related field
Experience with business intelligence and data visualization tools (QlikView, QlikSense, Tableau, Cognos)
Advanced experience and knowledge of core Microsoft Office application suite (Word, Excel, Access and PowerPoint). Prior experience with Microsoft Project, Visio and SharePoint preferred.
Experience with R/Python or other statistical programming language preferred.
Familiarity with data transformation/wrangling tools (Alteryx, Xceptor)
Knowledge and understanding of relational database design, programming, database warehouse star schema design and structure.
Knowledge of statistics and basic machine learning a plus
Strong technical, interpersonal and organizational skills
Good communication abilities, both written and oral
To be considered for this role, you may be required to complete a video interview powered by HireVue",355
Head - Business Analytics,WaterHealth,"Hyderabad, Telangana","Hyderabad, TelanganaThe incumbent would be responsible for analyzing business, processes or systems. Further assessing the business model and its integration with technology.
Please click on the respective openings to read the complete Job Description. Get in touch if there’s a role that seems like a good match and you may mail your resume to jobs@waterhealth.com with the position and the job code applied for as the subject line",356
Senior Business Analyst,Tredence,"Bengaluru, Karnataka","Bengaluru, Karnataka2+ years experienceTredence is the first analytics services company focused on the last mile of analytics adoption. Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning. Our uniqueness is in bringing the right mix of technology and business analytics to create white-box solutions that are typically transitioned to our clients at the end of the engagement in a sustainable way. We do this cost effectively using a global execution model leveraging our clients' existing technology and data assets.

We also come in with some strong IP and pre-built solutions/ frameworks in mobile, data mining and BI. Our high-growth record since inception has helped us gain recognition in Inc. 5000 for last 3 consecutive years as one of the fastest growing analytics companies in the US. Silicon Valley Business Journal ranked us 5th among the fastest growing private companies in Silicon Valley in 2018. We were also named ‘Bootstrap Champs’ at the Economic Times Start-up Awards, 2018. To know more about Tredence, visit: http://www.tredence.com.",357
Sr Manager - Data & Analytics,GE Aviation,"Bengaluru, Karnataka","Bengaluru, Karnataka3+ years experienceRole Summary: The Data Engineering team helps solve our customers' toughest challenges; making flights safer for people and the environment by leveraging data and analytics. The team is creating a state-of-the-art data and analytics platform that drives solutions, working across GE Aviation to drive business analytics to a new level of predictive analytics while leveraging big data tools and technologies.
Essential Responsibilities: • Lead the implementation of technical solutions for the Large Dataset Processing (LD) product. Own technical deliverables for assigned area of work.
Responsible for program staffing, hiring and team development
Drive performance development for team members, provide feedback and perform merit appraisals
Support estimating technical effort required to implement solutions
Contribute to technical analysis activities, such as requirements gathering and product gap analysis of user requirements
Proactively identifies and removes project obstacles or barriers on behalf of the team.
Deliver detailed design specifications as per customer requirements
Engage throughout the entire lifecycle on projects and provide feedback on architecture, design, and functionality while working closely with team members
Effectively leverage product capability, driving standardization, limiting customization, and maximizing reuse of content developed for previous solutions
Follow technical review processes and provide insights for product enhancements
Lead with cross-functional teams as required for the solution and implement processes to ensure best use of AWS & CDOO products and services to meet project requirements
Effectively communicate both verbally and in writing with team members, customers, and leadership
Lead onsite workouts and develop technical presentations for internal and external customers
Effectively apply agile methodology and standards
Maintain & continuously update technical skills and knowledge
Work independently as well as part of the team
Qualifications/Requirements: • Bachelor’s Degree in Computer Science or in “STEM” Majors (Science, Technology, Engineering and Math)
A minimum of 12 years of technical experience along with established leadership credentials across disciplines and functions within a product OR Master’s degree with 8 years of experience.
Demonstrated expertise in translating customer need into data platform and analytics runtime requirements
Demonstrated expertise in one or more industry sectors where GE operates (i.e., Aviation, Oil & Gas, Power & Water, Transportation, Mining, Healthcare)
Demonstrated expertise working in cloud based data solutions (AWS and/or Azure)
Facilitates and coaches data engineering team sessions on requirements estimation and alternative approaches to team sizing and estimation. Leads a community of practice around estimation to share best practices among teams
Around 3 years of experience using SQL, Postgres, MPP, Hadoop ecosystem, Spark, NoSQL (HBase, MongoDB etc.)
Follow technical review processes and provide insights for product enhancements
Communicates and demonstrates a shared sense of purpose.
Effectively communicate both verbally and in writing with team members, customers, and leadership
GB/BB certified - Able to use tools (analytics, CAP, Six Sigma) and techniques to drive change
Strong program / project management skill
Desired Characteristics: • Passionate about driving change and influence across enterprise
Demonstrated ability to lead in a highly matrixed environment
Ability to work with cross-functional teams to drive operationalization of analytic products and help teams to transform processes through analytics
Strong ability to communicate deep analytical results in forms that resonate with the business collaborators, highlighting actionable insights
Entrepreneurial inclination to discover novel opportunities for applying analytical techniques to business/scientific problems across the company
Ability to acquire any specialized domain knowledge required to be more effective in all required activities
Working knowledge of mathematics, statistics, text mining, and modeling skills
Willingness to learn and develop critical data science skills (e.g. statistical analyses, advanced data visualization, data mining, and data cleansing/transformation)
Working knowledge of Big Data programming environments and Competency in major analytics software packages and programming environments (e.g. Hadoop / Map-Reduce, Mahout; Python, R, Java etc. in Big data paradigms)
Hands on experience working with database technologies, including Oracle, SAP, SQL / NoSQL platforms, visualization applications such as Spotfire or Tableau
Familiarity with writing SQL queries and working with databases
Green Belt / Black Belt certification
Knowledge of Aviation’s big data environment and diagnostics ecosystem is a plus
Able to understand how team and personal goals/objectives contribute to the organization vision
Understands how to navigate accountability in a matrixed organization.
About Us: GE (NYSE: GE) drives the world forward by tackling its biggest challenges. By combining world-class engineering with software and analytics, GE helps the world work more efficiently, reliably, and safely. GE people are global, diverse and dedicated, operating with the highest integrity and passion to fulfill GE’s mission and deliver for our customers. www.ge.com Additional Locations: India;Bengaluru;",358
Senior Business Analyst,Flipkart,"Bengaluru, Karnataka","Bengaluru, Karnataka3+ years experienceSr. Business Analyst: The Stage/The Gig: Business Analytics Flipkart is making eCommerce happen in India. Flipkart’s vision is to make analytics part of its overarching competitive strategy, and push it up to decision makers at every level. The Analytics Team serves data requirements to a diverse set of customers - from Business Teams to Supply Chain Teams to Product Teams. An Analyst is expected to grasp the underlying data requirements of these teams and develop reports/analyses that add value to them. Do you have the passion to analyse data and impact the business materially through what you observe? At Flipkart, high focus on Impact and Ownership allows for freedom to each to experiment and innovate. The pride is when you see the impact of what you have created. The ability to see what your contribution does to the business is a rare experience, add to that the fact that the impact of it is felt by your friends and family in India - the experience is extremely gratifying. You’re Part: <U+F0B7> You are involved in identifying complex fuzzy problems, break it down in smaller parts and implement creative, data-driven solutions. <U+F0B7> You are responsible for defining, analysing and communicating key metrics and business trends to the management teams.<U+F0B7> You model data in order to create reporting infrastructure/dashboards for business process management and data mining.<U+F0B7> You execute quantitative analysis that translates data into actionable insights. <U+F0B7> You drive data driven decision making through the stake holders. You’re Array (Nice to Haves): <U+F0B7> Exceptional written and verbal communication skills. <U+F0B7> Ability to multitask and work on a diverse range of requirements. <U+F0B7> Hands on: BI tools (Cognos, BO, Pentaho, Qlikview), Web analytics tool (GA, Omniture etc), Statistical tools (R, SAS etc)<U+F0B7> Experience in analysing very large, complex, multi-dimensional data sets.<U+F0B7> Penchant for business, curiosity about numbers and persistence to work with data to tease out insights. You (Must Haves): <U+F0B7> Bachelors in Engineering, Computer Science, Math, Statistics, or related discipline from a reputed institute or an MBA from a reputed institute.<U+F0B7> You have 3+ Years of experience in relevant role<U+F0B7> Strong problem solving and analytical skills.<U+F0B7> Technical capabilities: SQL, Excel and Scripting Language.
You’re Cheers! Apart from all the general benefits of best in industry compensation, equity, healthcare etc., Flipkart prides in calling out the big hand for you to be <U+F0B7> Great Work, Great People and Great environment. We call o",359
Senior Desktop Support Analyst,Apptio,"Bengaluru, Karnataka","Bengaluru, Karnataka2+ years experienceYou:
Apptio is currently looking for a Senior Desktop Support Analyst with a passion for customer service and a seasoned background in desktop management, end-user support, asset management and optimization, and proficient corporate IT responsibilities. We are a global company expecting this individual to be a worldwide point of escalation for a period of their workday. The ideal candidate possesses a blend of tactical hands-on capability, responsive customer attitude, and experience with Windows, Mac and Linux environments, exceptional multi-tasking capabilities and a strong drive towards operational excellence.
In this role, you will:Thrive on Customer Satisfaction on all levels within the organization (Execs, EAs, Managers, Individual Contributors)
Have the ability to manage Tier 1 and 2 for all Service Desk Incidents and provide thorough documentation of issues escalated to other teams.
Work well independently and within a larger team in a fast-paced environment with deadlines
Train New-Hires, departments and groups on Apptio IT core services
Possess a deep knowledge of all Apptio core technologies (OS Win 10, Apple Mac OSX up to MacOS Mojave, VPN, Endpoint Security, A/V, ISTM, SharePoint, Unified Communications, Skype for Business, Office 365, Exchange and Active Directory administration)
Have experience of handling medium-to-large scale PC/OS deployments
Have a strong ability to assess customer business processes and propose innovative technology use to optimize
Propose and implement service desk process improvements
Possess strong ability to utilize Configuration Management solutions (i.e. SCCM, Jamf)
Sets the standards for Knowledge Base articles (KBs) by investigating and documenting incident root cause and resolution
Provide escalated local/remote support and troubleshooting across all geo-locations (US, EMEA, APAC)
Fulfill duty as a member of the weekly on-call rotation for after-hours/weekend support (as required)
Have the ability to work with Network/System Engineers and the Director, Infrastructure to ensure optimal operations of all systems
Possess fundamental knowledge and understanding of LAN/WAN architecture and administration
Possess ability to identify, track and articulate trending issues and produce metrics (as required)

Basic Qualifications
5+ years working with Executive level personnel
5+ years working with Windows 7/8.1/10 in a Windows Server Enterprise 2008/2012 domain
5+ years managing Active Directory Users and Computers
5+ years using Configuration Management Tools (SCCM)
5+ years resolving issues for remote users/customers
5+ years installing/configuring/troubleshooting PC hardware and operating systems
2 - 5 years working with Mac OS/OSX in an Enterprise Environment
Has acted as escalation tier within medium/large organizations
Preferred Qualifications:ITIL v3 Foundation certificate
CompTIA A+, HDI Support Center Analyst (HDI-SCA)
Windows Server Enterprise knowledge (Windows Server 2008/2012 Enterprise)
JAMF administration (Mac OS/IOS management) experience
SCCM administration (System Center Configuration Management) experience
Linux/Unix experience
MCSA (Microsoft Certified Solutions Associate) – Windows Server 2012, Windows 8/10

The Company

Apptio is the leading provider of cloud-based Technology Business Management (TBM) software that helps CIOs manage the business of IT. Apptio's suite of applications use business analytics to provide facts and insights about technology cost, value, and quality, so IT leaders can make faster, data-driven decisions.

Hundreds of customers, including 40 percent of the Fortune 100, choose Apptio as their business system of record to align IT spending with business priorities. Apptio is also backed by some of the world's most prominent financial institutions including T. Rowe Price, Andreessen Horowitz, Greylock Partners, Madrona Ventures, Shasta Ventures.

Apptio Inc. is not open to 3rd party solicitation or resumes for our posted FTE positions. Resumes received from 3rd party agencies that are unsolicited will be considered complimentary.

Apptio, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Apptio, Inc. complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities.",360
Business Analyst,ITC Infotech India Ltd,"Bengaluru, Karnataka","Bengaluru, KarnatakaRoles & Requirements:
Ability to conceptualize, design & build planning models from scratch.
Appreciation of various industry specific drivers and nuances involved in planning.
A passion for business analytics, modelling and planning.
Conceptualize, design and build planning models on Anaplan cloud planning platform as per customer business requirements.
Advanced Anaplan Modelling skills is required on the job.
Strong expertise and deep understanding of Multi-Dimensional Business Modeling.
Ability to translate Excel based Models to Anaplan models.
Enthusiasm for new ideas and innovative solutions.
Aptitude for quickly ramping up on new technology.
Experience in driving high-quality presales work with consultative flair; build prototypes and POCs for prospective customers to demonstrate Anaplan’s unique value proposition.
Senior candidates are also expected to contribute towards proposal writing and bid management.
Candidate should have an analytical bent of mind, and ability to appreciate the various applications of analytics for solving business problems.
Should have high level of commitment, initiative and on the fly problem solving capacity.
Must be organized, detail oriented and perform independently.
Open, motivated personality who enjoys working in a team and in challenging situations.
Willingness to travel extensively.
Excellent communication and interpersonal skills and English proficiency (spoken and written) is a must.
Adequate experience in client-facing roles.
Job Profile:

The defined role is within the Planning and Analytics team which forms part of the 500+ member Data LoB working on cutting-edge next-gen technologies such as AI, ML etc. The group comprises industry practitioners and consultants with years of experience of working across sectors and geographies. It is a pure play front end (client-facing) role.
The candidate will be based in Bangalore and would be required to travel extensively (mostly to international locations) for short durations.
Only applicants with relevant experience would be considered for further screening.
Compensation would be the best in industry.
The designation would be decided based on relevant prior experience and profile fitment.",361
